FID,OBJECTID,SHAPE,BEZEICHNUNG,ADRESSE,FZG_ANZAHL,KATEGORIE,WEITERE_INF,SE_ANNO_CAD_DATA
CARSHARINGOGD.fid-420752d1_158626666b2_-72f1,4185,POINT (16.262093709843676 48.197592170304965),W14-Hütteldorf Bahnhof U4,Keisslergasse,1,Economy,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72f0,4186,POINT (16.30309149554721 48.18749419278008),W13-Kennedybrücke,Hietzinger Hauptstraße 4,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72ef,4187,POINT (16.282057604423972 48.19146118669655),W13-BUWOG Kundenzentrum U4,Hietzinger Kai 131,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72ee,4188,POINT (16.343860290302658 48.183277187465514),W12-Steinbauergasse,Steinbauergasse 11,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72ed,4189,POINT (16.32764736890014 48.18304919878056),W12-Schönbrunner Straße U4 Meidling,Schönbrunnerstraße 269,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72ec,4190,POINT (16.320042409477896 48.184889194423874),W12-Schönbrunner Schloßstraße,Schönbrunner Schloßstraße 46,1,Combi,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72eb,4191,POINT (16.331402339997698 48.175342232789724),W12-Meidling Bahnhof,Wilhelmstraße 64,2,"City, Combi",http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72ea,4192,POINT (16.42080689518716 48.16960320482608),W11-Simmeringer Platz,Simmeringer Platz 1,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72e9,4193,POINT (16.374331139787355 48.18204217442568),W10-Columbuscenter,Columbusplatz 7-8,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72e8,4194,POINT (16.342708340946167 48.21531103517733),W09-Zimmermanngasse,Zimmermanngasse 1,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72e7,4195,POINT (16.3511783077572 48.22177799978671),W09-Wilhelm-Exner-Gasse,Wilhelm-Exner Gasse 8,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72e6,4196,POINT (16.3610552489779 48.21420702949973),W09-Votivpark U2,Sigmund Freud Park,5,"Combi, Comfort, City, Economy, Minivan",http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72e5,4197,POINT (16.35436229677574 48.224967981988556),W09-Sechsschimmelgasse,Sechsschimmelgasse 1,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72e4,4198,POINT (16.35623629282489 48.22806296600867),W09-Reznicekgasse,Reznicekgasse 2,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72e3,4199,POINT (16.364591238161484 48.21889400435359),W09-Berggasse,Berggasse 26,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72e2,4200,POINT (16.36183725948032 48.22411798172846),W09-Glasergasse,Glasergasse 1/Porzellangasse,3,"Combi, Economy, City",http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72e1,4201,POINT (16.36276826068281 48.22844396020323),W09-Friedensbrücke,Gussenbauergasse ggü. 5-7,2,"City, Minivan",http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72e0,4202,POINT (16.354155280686697 48.212174043001205),W08-Florianigasse,Florianigasse 5,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72df,4203,POINT (16.340421345967982 48.21110005740938),W08-Blindengasse,Blindengasse 33,1,City,http://www.carsharing.at,
