FID,SHAPE,STATION,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
CITYBIKEOGD.11314,POINT (16.34902132172584 48.22419498908096),Währinger Straße U6,18,11314,
CITYBIKEOGD.11315,POINT (16.348736568037992 48.2365946555803),Gymnasiumstraße,19,11315,
CITYBIKEOGD.11316,POINT (16.379227781223292 48.24402054983736),Friedrich Engels Platz,20,11316,
CITYBIKEOGD.11317,POINT (16.380306187319295 48.237457906071185),Hellwagstraße,20,11317,
CITYBIKEOGD.11318,POINT (16.369837235391667 48.235129924432414),Jägerstraße U6,20,11318,
CITYBIKEOGD.11319,POINT (16.38480406322374 48.24201099367874),Millennium Tower,20,11319,
CITYBIKEOGD.11320,POINT (16.383436166347646 48.23361292300894),Traisengasse,20,11320,
CITYBIKEOGD.11321,POINT (16.3715732198241 48.22990594779746),Wallensteinplatz,20,11321,
CITYBIKEOGD.11201,POINT (16.36667803016222 48.20971813968917),Wallnerstraße,1,11201,
CITYBIKEOGD.11202,POINT (16.356091268325493 48.2104190505322),Friedrich Schmidtplatz,1,11202,
CITYBIKEOGD.11203,POINT (16.372977055416264 48.21066012185283),Hoher Markt,1,11203,
CITYBIKEOGD.11204,POINT (16.37671015798404 48.203360070989824),Johannesgasse,1,11204,
CITYBIKEOGD.11205,POINT (16.382366140998066 48.21152802914468),Julius Raab Platz,1,11205,
CITYBIKEOGD.11206,POINT (16.37130818308038 48.2021510803414),Kärntner Ring,1,11206,
CITYBIKEOGD.11207,POINT (16.36950319268082 48.20266907954695),Oper,1,11207,
CITYBIKEOGD.11208,POINT (16.360241247266078 48.209915050008966),Rathausplatz,1,11208,
CITYBIKEOGD.11209,POINT (16.37221319716503 48.21595801394632),Schottenring U4,1,11209,
CITYBIKEOGD.11210,POINT (16.376646169161795 48.21169303135952),Schwedenplatz,1,11210,
CITYBIKEOGD.11211,POINT (16.38043726696341 48.20681451154315),Stadtpark Stubenring,1,11211,
CITYBIKEOGD.11212,POINT (16.374035178239456 48.20850804850966),Stephansplatz,1,11212,
CITYBIKEOGD.11213,POINT (16.360842062774527 48.21195267335475),Universitätsring,1,11213,
CITYBIKEOGD.11214,POINT (16.360404241641643 48.206501066193795),Volksgarten,1,11214,
CITYBIKEOGD.11215,POINT (16.39027144731316 48.21844838751067),Heinestraße,2,11215,
CITYBIKEOGD.11216,POINT (16.379647160615075 48.2156730104602),Karmeliterplatz,2,11216,
CITYBIKEOGD.11217,POINT (16.414362988403433 48.21437599562027),Krieau,2,11217,
CITYBIKEOGD.11218,POINT (16.406162033040825 48.21728998644786),Messeplatz,2,11218,
CITYBIKEOGD.11219,POINT (16.386201129414278 48.215872005711226),Nepomukgasse,2,11219,
CITYBIKEOGD.11220,POINT (16.382202301928466 48.21951469618898),Novaragasse,2,11220,
CITYBIKEOGD.11221,POINT (16.373077469949898 48.217768685006895),Obere Donaustraße,2,11221,
CITYBIKEOGD.11222,POINT (16.392021818411685 48.21782586224878),Praterstern,2,11222,
CITYBIKEOGD.11223,POINT (16.399781097625972 48.22317715612901),Radingerstraße,2,11223,
CITYBIKEOGD.11224,POINT (16.421396948698256 48.209977012009766),Stadion Center,2,11224,
CITYBIKEOGD.11225,POINT (16.40768551471879 48.21285225769253),Südportalstraße,2,11225,
CITYBIKEOGD.11226,POINT (16.377114434562824 48.19462553543819),Arbeiterkammer,3,11226,
CITYBIKEOGD.11227,POINT (16.384468407357602 48.2016134404454),Bahngasse,3,11227,
CITYBIKEOGD.11228,POINT (16.38657209655818 48.1942341083809),Fasanplatz,3,11228,
CITYBIKEOGD.11229,POINT (16.39519377601202 48.19667110171217),Juchgasse,3,11229,
CITYBIKEOGD.11230,POINT (16.396001156576908 48.205679689184535),Kundmanngasse,3,11230,
CITYBIKEOGD.11231,POINT (16.398455320772662 48.19298076866997),Petrusgasse,3,11231,
CITYBIKEOGD.11232,POINT (16.390210102370393 48.210677028430915),Radetzkyplatz,3,11232,
CITYBIKEOGD.11233,POINT (16.389773093546395 48.203404062785246),Salmgasse,3,11233,
CITYBIKEOGD.11234,POINT (16.37696815054703 48.198851092510644),Schwarzenbergplatz,3,11234,
CITYBIKEOGD.11235,POINT (16.3943220661911 48.19923307994595),Wassergasse,3,11235,
CITYBIKEOGD.11236,POINT (16.385238396352516 48.20584565595263),Wien Mitte,3,11236,
CITYBIKEOGD.11237,POINT (16.363298444460696 48.19530317571636),Heumühlgasse,4,11237,
CITYBIKEOGD.11238,POINT (16.367061561235158 48.192876888617675),Mayerhofgasse,4,11238,
CITYBIKEOGD.11239,POINT (16.37565799613735 48.19085186687401),Sankt-Elisabeth-Platz,4,11239,
CITYBIKEOGD.11240,POINT (16.36815119456501 48.19972409425667),Treitlstraße,4,11240,
CITYBIKEOGD.11241,POINT (16.3458232822723 48.183880183581195),Arbeitergasse,5,11241,
CITYBIKEOGD.11242,POINT (16.35740024220815 48.196354117186324),Falco Stiege,5,11242,
CITYBIKEOGD.11243,POINT (16.36389119742535 48.187178156176074),Hartmanngasse,5,11243,
CITYBIKEOGD.11244,POINT (16.343859298396996 48.18847016318455),Margaretengürtel U4,5,11244,
CITYBIKEOGD.11245,POINT (16.358003129491298 48.18154277129087),Matzleinsdorfer Platz,5,11245,
CITYBIKEOGD.11246,POINT (16.361329704151782 48.18972630525521),Mittersteig,5,11246,
CITYBIKEOGD.11247,POINT (16.35469625087456 48.19269913559258),Pilgramgasse U4,5,11247,
CITYBIKEOGD.11248,POINT (16.35101826426761 48.18952115303165),Reinprechtsdorfer Brücke,5,11248,
CITYBIKEOGD.11249,POINT (16.35301425105463 48.18527148353864),Siebenbrunnenplatz,5,11249,
CITYBIKEOGD.11250,POINT (16.33830477105179 48.1893607742042),Gumpendorfer Gürtel,6,11250,
CITYBIKEOGD.11251,POINT (16.35090927688664 48.19852111048471),Kollergerngasse,6,11251,
CITYBIKEOGD.11252,POINT (16.337417655089805 48.20366972378574),Burggasse U6,7,11252,
CITYBIKEOGD.11253,POINT (16.361106476462247 48.20233933964785),Museumsplatz,7,11253,
CITYBIKEOGD.11254,POINT (16.34323232755903 48.20724307326908),Schottenfeldgasse,7,11254,
CITYBIKEOGD.11255,POINT (16.352024276415193 48.20215509262772),Siebensternplatz,7,11255,
CITYBIKEOGD.11256,POINT (16.337718344961175 48.201029106300076),Urban Loritz Platz,7,11256,
CITYBIKEOGD.11257,POINT (16.343974308719062 48.19672112366531),Webgasse,7,11257,
CITYBIKEOGD.11258,POINT (16.356423260794898 48.206001071480465),Weghuberpark,7,11258,
CITYBIKEOGD.11259,POINT (16.34405805818636 48.21053263166596),Albertgasse,8,11259,
CITYBIKEOGD.11260,POINT (16.346440322647627 48.21521903361881),Alser Straße/Feldgasse,8,11260,
CITYBIKEOGD.11261,POINT (16.359604918172373 48.228940550854276),Althanstraße,9,11261,
CITYBIKEOGD.11262,POINT (16.360176112073113 48.22110519488526),Bauernfeldplatz,9,11262,
CITYBIKEOGD.11263,POINT (16.366334431034286 48.21918007240759),Berggasse,9,11263,
CITYBIKEOGD.11264,POINT (16.356383281385313 48.2203370033277),Boltzmanngasse,9,11264,
CITYBIKEOGD.11265,POINT (16.355136279645876 48.21515002865829),Frankhplatz,9,11265,
CITYBIKEOGD.11266,POINT (16.365300558015445 48.2268151508829),Friedensbrücke,9,11266,
