FID,OBJECTID,SHAPE,LBEZEICHNUNG,LTYP,LTYPTXT,SE_ANNO_CAD_DATA
OEFFLINIENOGD.204,204,"LINESTRING (16.352827241873918 48.19324104713239, 16.35405717417756 48.19301041121295)","13A, 14A",2,Autobus,
OEFFLINIENOGD.205,205,"LINESTRING (16.358116985308484 48.191307797717954, 16.358023628533175 48.191444634598895, 16.357903571007455 48.191554707310374, 16.35770343100082 48.19163505178416, 16.356382444366794 48.19205764615976)","12A, 13A",2,Autobus,
OEFFLINIENOGD.206,206,"LINESTRING (16.358116985308484 48.191307797717954, 16.358411139341264 48.19161611872604, 16.35876708179977 48.191788559264616, 16.3591719421207 48.1919252975454, 16.3595545756773 48.19208880721019, 16.359843786428495 48.192234489757986)","13A, 59A",2,Autobus,
OEFFLINIENOGD.207,207,"LINESTRING (16.360600176020597 48.192579351324966, 16.362729969669754 48.19066341448333, 16.36379706227364 48.189764916955156)",13A,2,Autobus,
OEFFLINIENOGD.208,208,"LINESTRING (16.36379706227364 48.189764916955156, 16.363054018247272 48.18938140682759, 16.362115852961097 48.19015197239058, 16.359843786428495 48.192234489757986)",13A,2,Autobus,
OEFFLINIENOGD.209,209,"LINESTRING (16.36379706227364 48.189764916955156, 16.364909411348947 48.19031191834889)",13A,2,Autobus,
OEFFLINIENOGD.210,210,"LINESTRING (16.366280654819665 48.19027199316262, 16.368106692200715 48.188734680931844)",13A,2,Autobus,
OEFFLINIENOGD.211,211,"LINESTRING (16.368106692200715 48.188734680931844, 16.36749710684653 48.188407673684594, 16.365954305054007 48.18956212246941, 16.36580894281447 48.18966643371635)",13A,2,Autobus,
OEFFLINIENOGD.212,212,"LINESTRING (16.368106692200715 48.188734680931844, 16.369312426925493 48.18920725521213, 16.370455854107842 48.18959655478403, 16.371906301344467 48.1900987724233)",13A,2,Autobus,
OEFFLINIENOGD.213,213,"LINESTRING (16.368106692200715 48.188734680931844, 16.36892899565579 48.18780943426882, 16.36969792182023 48.186928812525395, 16.371944761178813 48.187844224496175, 16.373052513657605 48.18812345957235)",13A,2,Autobus,
OEFFLINIENOGD.214,214,"LINESTRING (16.37395374296794 48.185484159539534, 16.37422424129235 48.18558115267004, 16.374380911939486 48.18572577165353, 16.37463429043472 48.18583271061872, 16.37564424700234 48.18622200353025, 16.376298326812623 48.18653408006041, 16.376618731138965 48.18673324710775, 16.377014753825055 48.18693238633565, 16.377471875357564 48.187070160406705)","13A, 69A",2,Autobus,
OEFFLINIENOGD.215,215,"LINESTRING (16.363131741173373 48.21331472733104, 16.36267501294258 48.21375397043012, 16.362577552177 48.21367539266572, 16.362565281998805 48.21362620286426, 16.36261153931521 48.21356701713794, 16.362737287961245 48.21344602989947)",1A,2,Autobus,
OEFFLINIENOGD.216,216,"LINESTRING (16.362737287961245 48.21344602989947, 16.362849719975216 48.21333484817985, 16.36294376637712 48.2133175593357, 16.363131741173373 48.21331472733104)",1A,2,Autobus,
OEFFLINIENOGD.217,217,"LINESTRING (16.363535072434136 48.21293071322256, 16.363201137023083 48.213247352127894, 16.363131741173373 48.21331472733104)",1A,2,Autobus,
OEFFLINIENOGD.218,218,"LINESTRING (16.37206407123225 48.21127107037301, 16.371184305165542 48.21166728316577, 16.37020484521475 48.212067325666425, 16.3691285595432 48.21250355462601, 16.367707759907187 48.213145454505415, 16.36755685442645 48.213219734569606, 16.367440135484806 48.21330733028501, 16.366432483383875 48.214299354084126)","1A, 3A",2,Autobus,
OEFFLINIENOGD.219,219,"LINESTRING (16.370222125116335 48.20362609013993, 16.370439270679654 48.203556622293, 16.37337894861366 48.20292633985885, 16.373578192317996 48.20280968194272, 16.373823282889926 48.20236939961689)",2A,2,Autobus,
OEFFLINIENOGD.220,220,"LINESTRING (16.373823282889926 48.20236939961689, 16.37415049907313 48.20178157070249, 16.374072146131343 48.20171735111002, 16.37365564028852 48.20163420758595, 16.37343853377779 48.20165331427372, 16.3714847457217 48.202086992771754, 16.36984412664895 48.202477717258155, 16.369794347662037 48.202558632782115, 16.370303977475455 48.20350788364839, 16.37028925128022 48.20357594036084, 16.370222125116335 48.20362609013993)",2A,2,Autobus,
OEFFLINIENOGD.221,221,"LINESTRING (16.369052056464984 48.20391859892123, 16.3701154250728 48.203660224857984, 16.370222125116335 48.20362609013993)",2A,2,Autobus,
OEFFLINIENOGD.222,222,"LINESTRING (16.367006525157944 48.20743116156801, 16.367356996005796 48.20687564705129, 16.36754541010686 48.20646514058431, 16.36764672970971 48.20625215158426, 16.367767646155258 48.2060689002282, 16.36790093952262 48.20575596634119, 16.36803067809691 48.2054537396538, 16.36809825304729 48.20536092199623, 16.368228115399358 48.2052597591953, 16.368322410179054 48.20520381585955, 16.368404253644723 48.20516096282876, 16.368487832559886 48.205047915665546, 16.368827377009247 48.2044255927572, 16.36883797067683 48.204293530237955, 16.368782728013457 48.204182901045606, 16.368741737586323 48.20409487303916, 16.36875592976447 48.20402348560786, 16.368875134682703 48.2039615857267, 16.369052056464984 48.20391859892123)",2A,2,Autobus,
OEFFLINIENOGD.223,223,"LINESTRING (16.369052056464984 48.20391859892123, 16.368995136233583 48.20406828520512, 16.3690037642332 48.204201055395686, 16.369052979461255 48.204348091516756, 16.369176961241173 48.20451652156135, 16.370036882367394 48.205492035336135, 16.370162222040985 48.20555481558798, 16.370247697308375 48.205619511423194, 16.370452980156823 48.20599064462072, 16.370538513955566 48.20614290411716, 16.370510070710658 48.2061943086713, 16.369599033618908 48.20655815799825, 16.36896128896916 48.20679819041984, 16.36893569199876 48.20684959466304, 16.368992695831665 48.206923817038316, 16.368958551851048 48.20696951216607, 16.368329369971118 48.207253321004394, 16.367812566984522 48.207613683097584)",2A,2,Autobus,
OEFFLINIENOGD.224,224,"LINESTRING (16.367006525157944 48.20743116156801, 16.36712611908066 48.20740638277653, 16.367812566984522 48.207613683097584)",1A,2,Autobus,
OEFFLINIENOGD.225,225,"LINESTRING (16.367812566984522 48.207613683097584, 16.368470859089438 48.20832162394701, 16.369035119387114 48.208921084389154, 16.369134828006516 48.20897054788553, 16.369280092258084 48.20900476999276, 16.3693940402712 48.20905423004655, 16.36953650498965 48.2091626913063, 16.369633361237096 48.20920454157655, 16.369724486004976 48.209193093590386, 16.369858321743163 48.209168307792396, 16.36997794087607 48.209179693888956, 16.37009190508728 48.209251995910556, 16.370416698093457 48.209449868752166, 16.370436702729805 48.209552655661376, 16.370171991935223 48.2097716436906, 16.36993862085204 48.21001346453153, 16.369915879091998 48.21007819240932, 16.369970030729093 48.21013908991242, 16.370448555036006 48.210239836764266, 16.37057670402574 48.21022647316681)","1A, 2A",2,Autobus,
