FID,OBJECTID,SHAPE,ADRESSE,AUSNAHME_TXT,STELLPL_ANZ,WEITERE_INF,SE_ANNO_CAD_DATA
PARKENANRAINEROGD.350636,350636,"LINESTRING (16.376973983267842 48.22124986753957, 16.37587259360646 48.22056353904636)","2, Miesbachgasse 8 bis 16",ausg. Fahrzeuge mit Parkkleber für den 2. Bezirk,19,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350637,350637,"LINESTRING (16.374776450854437 48.22110971268636, 16.373525423950234 48.220253459295115)","2, Nestroygasse 2 bis 12",ausg. Fahrzeuge mit Parkkleber für den 2. Bezirk,27,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350638,350638,"LINESTRING (16.373820876267445 48.22347178708612, 16.37280275919635 48.22264046389415)","2, Rembrandtstraße 31 bis 41",ausg. Fahrzeuge mit Parkkleber für den 2. Bezirk,24,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350639,350639,"LINESTRING (16.372595106462686 48.222380303035266, 16.371992896207775 48.22188830085269)","2, Rembrandtstraße 20 bis 24",ausg. Fahrzeuge mit Parkkleber für den 2. Bezirk,12,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350640,350640,"LINESTRING (16.37148677201477 48.21972047414493, 16.37251839011218 48.220537387973046)","2, Untere Augartenstraße 1-3 bis 11",ausg. Fahrzeuge mit Parkkleber für den 2. Bezirk,17,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350641,350641,"LINESTRING (16.38585671095663 48.21351398626858, 16.387265123847065 48.21375332437101)","2, Ferdinandstraße 28 bis ggü. 31",ausg. Fahrzeuge mit Parkkleber für den 2. Bezirk,21,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350642,350642,"LINESTRING (16.384886555151418 48.214497100543035, 16.385904956306568 48.21434710258452)","2, Czerningasse 2 bis 4",ausg. Fahrzeuge mit Parkkleber für den 2. Bezirk,13,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350643,350643,"LINESTRING (16.38617462152302 48.21433739637161, 16.387424260000518 48.214332561787515)","2, Czerningasse 6 bis Czerninplatz 7 ",ausg. Fahrzeuge mit Parkkleber für den 2. Bezirk,24,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350644,350644,"LINESTRING (16.389840764909483 48.21459883697788, 16.3896528773602 48.21525237721713)","2, Körnergasse 2 bis 8",ausg. Fahrzeuge mit Parkkleber für den 2. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350645,350645,"LINESTRING (16.355405852546536 48.20124174928699, 16.355312654357167 48.20139262229285)","7, Stiftgasse ggü. 5-9 bis ggü. 11",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350646,350646,"LINESTRING (16.355288467284456 48.20143486172443, 16.3552264762187 48.20153450535755)","7, Stiftgasse ggü. 11",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,2,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
