FID,SHAPE,NAME,BEZEICHNUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
UNIVERSITAETOGD.1546275,POINT (16.38227858823622 48.15772717723861),FH Campus Wien,Gebäude,1546275,
UNIVERSITAETOGD.1546268,POINT (16.40343720305014 48.21912627923455),Fachhochschule des bfi Wien,Hauptgebäude,1546268,
UNIVERSITAETOGD.1546269,POINT (16.42689874996317 48.269496345098666),Fachhochschule des bfi Wien,ENERGYbase,1546269,
UNIVERSITAETOGD.1546270,POINT (16.34919219213136 48.226573342207885),FHWien-Studiengänge der Wirtschaftskammer Wien,Gebäude,1546270,
UNIVERSITAETOGD.1546271,POINT (16.35246039135697 48.24269452058537),Lauder Business School,Gebäude,1546271,
UNIVERSITAETOGD.1546272,POINT (16.35588182987807 48.20013752041795),FH Technikum Wien,Geschäftsführung,1546272,
UNIVERSITAETOGD.1546273,POINT (16.377846775295726 48.239436801402604),FH Technikum Wien,Standort Höchstädtplatz,1546273,
UNIVERSITAETOGD.1546274,POINT (16.42689874996317 48.269496345098666),FH Technikum Wien,ENERGYbase,1546274,
UNIVERSITAETOGD.1545911,POINT (16.367516404807773 48.21930878706465),Universität Wien,Fakultät für Wirtschaftswissenschaften,1545911,
UNIVERSITAETOGD.1546397,POINT (16.266097026529206 48.184056113155386),Hochschule für Argar und Umweltpädagogik,Gebäude,1546397,
UNIVERSITAETOGD.1546276,POINT (16.36307918010177 48.20016550636743),Technische Universität Wien,Lehartrakt,1546276,
UNIVERSITAETOGD.1546277,POINT (16.361975035689937 48.19980054719577),Akademie der bildenden Künste Wien,Atelierhaus,1546277,
UNIVERSITAETOGD.1546289,POINT (16.34519154488844 48.21804007123538),Medizinische Universität Wien,Gebäude,1546289,
UNIVERSITAETOGD.1546290,POINT (16.33167414153381 48.23736774712295),Universität für Bodenkultur Wien,Zentrum für Internationale Beziehungen,1546290,
UNIVERSITAETOGD.1546291,POINT (16.360851928870705 48.213012828415096),Universität Wien,Hauptgebäude,1546291,
UNIVERSITAETOGD.1546292,POINT (16.317331757786384 48.2054889397581),Universität Wien,Universitätssportzentrum USZ II,1546292,
UNIVERSITAETOGD.1546294,POINT (16.330296021462775 48.23760734436551),Universität für Bodenkultur Wien,Baracken,1546294,
UNIVERSITAETOGD.1546295,POINT (16.365866449205704 48.20779178354921),Universität Wien,Theaterwissenschaft Hofburg,1546295,
UNIVERSITAETOGD.1546113,POINT (16.38231295437089 48.196989050609844),Universität für Musik und darstellende Kunst Wien,Palais Springer,1546113,
UNIVERSITAETOGD.1546114,POINT (16.382282456047378 48.19658099664793),Universität für Musik und darstellende Kunst Wien,Gebäude,1546114,
