FID,OBJECTID,SHAPE,GARAGE_ID,BETREIBER,BEZEICHNUNG,PLZ,ORT,ADRESSE,WEBLINK_BETR_DE,WEBLINK_BETR_EN,WEBLINK_WK_DE,WEBLINK_WK_EN,LONGITUDE,LATITUDE,PARK_AND_RIDE,BEHINDERTENPARKPL,SE_ANNO_CAD_DATA
GARAGENOGD.376763,376763,POINT (16.374225971113592 48.18205536467654),3321,APCOA Parking Austria GmbH,Columbus-Center,1100,Wien,Columbusplatz 7-8,http://www.apcoa.at/parken-in/wien/columbus-center.html,http://www.apcoa.at/en/parking-in/wien/columbus-center.html,http://www.parken.at/garage/3321/,http://www.parken.at/en/garage/3321/,16.37423483,48.18206119,N,N,
GARAGENOGD.376764,376764,POINT (16.25673174073941 48.200787158703505),3340,APCOA Parking Austria GmbH,Bergmillergasse,1140,Wien,Bergmillergasse 5,http://www.apcoa.at/parken-in/wien/bergmillergasse.html,http://www.apcoa.at/en/parking-in/wien/bergmillergasse.html,http://www.parken.at/garage/3340/,http://www.parken.at/en/garage/3340/,16.25674,48.200793,N,N,
GARAGENOGD.376765,376765,POINT (16.365402232957994 48.218005808266646),3320,APCOA Parking Austria GmbH,Rossau,1090,Wien,Türkenstraße 22,http://www.apcoa.at/parken-in/wien/rossau.html,http://www.apcoa.at/en/parking-in/wien/rossau.html,http://www.parken.at/garage/3320/,http://www.parken.at/en/garage/3320/,16.365411,48.2180118,N,N,
GARAGENOGD.376766,376766,POINT (16.34286127451104 48.16847425859045),3328,APCOA Parking Austria GmbH,Hertha-Firnberg-Strasse (MP),1100,Wien,Hertha-Firnberg-Straße 14,http://www.apcoa.at/parken-in/wien/hertha-firnberg-strasse-mp.html,http://www.apcoa.at/en/parking-in/wien/hertha-firnberg-strasse-mp.html,http://www.parken.at/garage/3328/,http://www.parken.at/en/garage/3328/,16.34287,48.16848,N,N,
GARAGENOGD.376767,376767,POINT (16.342868374606493 48.168476759189616),3329,APCOA Parking Austria GmbH,Hertha-Firnberg-Strasse (RM),1100,Wien,Hertha-Firnberg-Straße 14,http://www.apcoa.at/parken-in/wien/hertha-firnberg-strasse-rm.html,http://www.apcoa.at/en/parking-in/wien/hertha-firnberg-strasse-rm.html,http://www.parken.at/garage/3329/,http://www.parken.at/en/garage/3329/,16.3428771,48.1684825,N,N,
GARAGENOGD.376768,376768,POINT (16.373933040396935 48.18212765463491),3322,APCOA Parking Austria GmbH,Columbusplatz,1100,Wien,Columbusplatz 7-8,http://www.apcoa.at/parken-in/wien/columbusplatz.html,http://www.apcoa.at/en/parking-in/wien/columbusplatz.html,http://www.parken.at/garage/3322/,http://www.parken.at/en/garage/3322/,16.3739418983,48.1821334805,N,N,
GARAGENOGD.376769,376769,POINT (16.400122011978276 48.18817069945381),3307,APCOA Parking Austria GmbH,Rennweg,1030,Wien,Rennweg 104,http://www.apcoa.at/parken-in/wien/rennweg.html,http://www.apcoa.at/en/parking-in/wien/rennweg.html,http://www.parken.at/garage/3307/,http://www.parken.at/en/garage/3307/,16.40013099,48.18817657,N,N,
GARAGENOGD.376770,376770,POINT (16.34142484456757 48.19533147783772),3314,APCOA Parking Austria GmbH,Mariahilfer Strasse,1060,Wien,Mariahilferstraße 123,http://www.apcoa.at/parken-in/wien/mariahilfer-strasse.html,http://www.apcoa.at/en/parking-in/wien/mariahilfer-strasse.html,http://www.parken.at/garage/3314/,http://www.parken.at/en/garage/3314/,16.3414335251,48.195337346,N,N,
GARAGENOGD.376771,376771,POINT (16.41344716122091 48.18989582644785),3305,APCOA Parking Austria GmbH,P+R Erdberg,1030,Wien,Franzosengraben 2,http://www.apcoa.at/parken-in/wien/p-r-erdberg.html,http://www.apcoa.at/en/parking-in/wien/p-r-erdberg.html,http://www.parken.at/garage/3305/,http://www.parken.at/en/garage/3305/,16.4134562016,48.1899017137,N,N,
GARAGENOGD.376772,376772,POINT (16.41074424140973 48.23218142292208),3362,APCOA Parking Austria GmbH,Donauinsel,1220,Wien,Copa Cagrana,http://www.apcoa.at/parken-in/wien/donauinsel.html,http://www.apcoa.at/en/parking-in/wien/donauinsel.html,http://www.parken.at/garage/3362/,http://www.parken.at/en/garage/3362/,16.41075321,48.23218751,N,N,
