FID,SHAPE,STRASSE,STELLPL_ANZ,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MOTORRADABSTELLPLATZOGD.551281,POINT (16.376545657249373 48.21528920121167),Hollandstraße,10,2,551281,
MOTORRADABSTELLPLATZOGD.551282,POINT (16.37257296365857 48.220593582607705),Untere Augartenstraße,5,2,551282,
MOTORRADABSTELLPLATZOGD.551283,POINT (16.398891140998092 48.229301245791696),Wehlistraße,5,2,551283,
MOTORRADABSTELLPLATZOGD.551284,POINT (16.411798395040194 48.301630113038),Stammesrsdorfer Straße,1,21,551284,
MOTORRADABSTELLPLATZOGD.551285,POINT (16.414838576846467 48.21603538659464),Engerthstraße,11,2,551285,
MOTORRADABSTELLPLATZOGD.551286,POINT (16.4163713174066 48.214942740000566),Engerthstraße,11,2,551286,
MOTORRADABSTELLPLATZOGD.551287,POINT (16.42088643471942 48.21175788535119),Engerthstraße,7,2,551287,
MOTORRADABSTELLPLATZOGD.551288,POINT (16.41813868412789 48.21384994144979),Engerthstraße,9,2,551288,
MOTORRADABSTELLPLATZOGD.551289,POINT (16.41296095642272 48.21755575806105),Engerthstraße,11,2,551289,
MOTORRADABSTELLPLATZOGD.551290,POINT (16.399360420049778 48.27763746471852),Ödenburger Straße,6,21,551290,
MOTORRADABSTELLPLATZOGD.551291,POINT (16.386845933251987 48.223112670274524),Volkertplatz,5,2,551291,
MOTORRADABSTELLPLATZOGD.551292,POINT (16.450151685169146 48.27674743661781),Schererstraße,4,21,551292,
MOTORRADABSTELLPLATZOGD.551293,POINT (16.389170091287042 48.264787543019516),O'Brien-Gasse,5,21,551293,
MOTORRADABSTELLPLATZOGD.551294,POINT (16.411236070593485 48.2907334181872),Jedlersdorfer Straße,5,21,551294,
MOTORRADABSTELLPLATZOGD.551295,POINT (16.408816181510844 48.27478458491207),Kantnergasse,3,21,551295,
MOTORRADABSTELLPLATZOGD.551296,POINT (16.39447813730256 48.27163214913703),Hopfengasse,5,21,551296,
MOTORRADABSTELLPLATZOGD.551297,POINT (16.40335376802839 48.21884997277758),Stuwerstraße,5,2,551297,
MOTORRADABSTELLPLATZOGD.551298,POINT (16.40185546733546 48.26734415612739),Karl-Schäfer-Straße,4,21,551298,
MOTORRADABSTELLPLATZOGD.551299,POINT (16.40220040374256 48.26728115141667),Karl-Schäfer-Straße,4,21,551299,
MOTORRADABSTELLPLATZOGD.551300,POINT (16.375167236816583 48.24623456472467),Aignerstraße,3,20,551300,
MOTORRADABSTELLPLATZOGD.551301,POINT (16.37516934941433 48.24608631066457),Aignerstraße,3,20,551301,
MOTORRADABSTELLPLATZOGD.551302,POINT (16.404818837767813 48.219757784617414),Feuerbachstraße,2,2,551302,
MOTORRADABSTELLPLATZOGD.551303,POINT (16.404676178614285 48.21967827859583),Feuerbachstraße,2,2,551303,
MOTORRADABSTELLPLATZOGD.551304,POINT (16.322125247039153 48.19382189717401),Felberstraße,5,15,551304,
MOTORRADABSTELLPLATZOGD.551305,POINT (16.43481491062785 48.20308904545129),Wehlistraße,5,2,551305,
MOTORRADABSTELLPLATZOGD.551306,POINT (16.43617318556663 48.20211988979819),Wehlistraße,4,2,551306,
MOTORRADABSTELLPLATZOGD.551307,POINT (16.437371185260055 48.201233069629076),Wehlistraße,3,2,551307,
MOTORRADABSTELLPLATZOGD.551308,POINT (16.431973935246596 48.20511301449344),Wehlistraße,12,2,551308,
MOTORRADABSTELLPLATZOGD.551309,POINT (16.382686153370518 48.24198706014913),Stromstraße,3,20,551309,
MOTORRADABSTELLPLATZOGD.551310,POINT (16.423817898010554 48.30081040428638),Roman-Felleis-Gasse,6,21,551310,
MOTORRADABSTELLPLATZOGD.551311,POINT (16.402480422502993 48.2777946293386),Mitterhofergasse,7,21,551311,
MOTORRADABSTELLPLATZOGD.551312,POINT (16.35649714344549 48.2353509588865),Heiligenstädter Straße,5,19,551312,
MOTORRADABSTELLPLATZOGD.551313,POINT (16.28179039456837 48.135327774037414),Lehmanngasse,5,23,551313,
MOTORRADABSTELLPLATZOGD.551314,POINT (16.289117248790863 48.14230653719484),Steinergasse,5,23,551314,
MOTORRADABSTELLPLATZOGD.551315,POINT (16.411201849881046 48.21189626833506),Trabrennstraße,14,2,551315,
MOTORRADABSTELLPLATZOGD.551316,POINT (16.390094592636512 48.25866108095213),Jedleseer Straße,4,21,551316,
MOTORRADABSTELLPLATZOGD.551317,POINT (16.363965566672864 48.23197402827369),Treustraße,1,20,551317,
MOTORRADABSTELLPLATZOGD.551318,POINT (16.400969873964563 48.262999914315714),Brünner Straße,5,21,551318,
MOTORRADABSTELLPLATZOGD.551319,POINT (16.385979911165975 48.264720825518005),Jedleseer Straße,4,21,551319,
MOTORRADABSTELLPLATZOGD.551320,POINT (16.399530069738972 48.25818165658018),Pius-Parsch-Platz,8,21,551320,
MOTORRADABSTELLPLATZOGD.551321,POINT (16.39480482628238 48.221522106556534),Joseph-Roth-Gasse,8,2,551321,
MOTORRADABSTELLPLATZOGD.551322,POINT (16.41984042814891 48.22625433184092),Am Kaisermühlendamm,2,22,551322,
MOTORRADABSTELLPLATZOGD.551323,POINT (16.41372479304659 48.1986300217127),Stadionallee,6,2,551323,
MOTORRADABSTELLPLATZOGD.551324,POINT (16.386898476473604 48.26295787451174),Jedleseer Straße,12,21,551324,
MOTORRADABSTELLPLATZOGD.551325,POINT (16.402332472543158 48.27130767638163),Ignaz-Köck-Straße,4,21,551325,
MOTORRADABSTELLPLATZOGD.551326,POINT (16.369766035969636 48.22195299117399),Obere Donaustraße,6,2,551326,
MOTORRADABSTELLPLATZOGD.551327,POINT (16.38248576984124 48.21367216223656),Praterstraße,3,2,551327,
MOTORRADABSTELLPLATZOGD.551328,POINT (16.384599247423786 48.21272833382523),Untere Donaustraße,12,2,551328,
MOTORRADABSTELLPLATZOGD.551329,POINT (16.389784087442855 48.22233016410389),Nordbahnstraße,6,2,551329,
MOTORRADABSTELLPLATZOGD.551330,POINT (16.40689693629021 48.22152219457844),Jungstraße,4,2,551330,
MOTORRADABSTELLPLATZOGD.551331,POINT (16.399315745336345 48.25824260581668),Pius-Parsch-Platz,10,21,551331,
MOTORRADABSTELLPLATZOGD.551332,POINT (16.386322708111127 48.27825245075887),Autokaderstraße,7,21,551332,
MOTORRADABSTELLPLATZOGD.551333,POINT (16.415542605223735 48.21418919837264),Vorgartenstraße,15,2,551333,
MOTORRADABSTELLPLATZOGD.551334,POINT (16.404852249123238 48.250822668145375),Mühlschüttelgasse,4,21,551334,
MOTORRADABSTELLPLATZOGD.551335,POINT (16.382485136319307 48.217714331365315),Rotensterngasse,4,2,551335,
MOTORRADABSTELLPLATZOGD.551336,POINT (16.37408124583218 48.2023847801574),Hegelgasse,4,1,551336,
MOTORRADABSTELLPLATZOGD.551337,POINT (16.415832830930754 48.27939374260785),Skrauptstraße,3,21,551337,
MOTORRADABSTELLPLATZOGD.551338,POINT (16.40403466838655 48.277590211466034),Mitterhofergasse,7,21,551338,
MOTORRADABSTELLPLATZOGD.551339,POINT (16.377171859925888 48.24707492226201),Kapaunplatz,2,20,551339,
MOTORRADABSTELLPLATZOGD.551340,POINT (16.377242317941004 48.24699859404934),Kapaunplatz,2,20,551340,
MOTORRADABSTELLPLATZOGD.551341,POINT (16.37658768438829 48.24672658527964),Kapaunplatz,2,20,551341,
MOTORRADABSTELLPLATZOGD.551342,POINT (16.33286565256786 48.19682332002693),Felberstraße,3,15,551342,
MOTORRADABSTELLPLATZOGD.551343,POINT (16.40077984558008 48.27982920487151),Ödenburger Straße,6,21,551343,
MOTORRADABSTELLPLATZOGD.551344,POINT (16.396443734056515 48.21037398803259),Schüttelstraße,5,2,551344,
MOTORRADABSTELLPLATZOGD.551345,POINT (16.371416984569407 48.22151874270063),Rembrandtstraße,5,2,551345,
MOTORRADABSTELLPLATZOGD.551346,POINT (16.37277128927471 48.22262675871416),Rembrandtstraße,5,2,551346,
MOTORRADABSTELLPLATZOGD.551347,POINT (16.383078419160054 48.217211066664156),Große Mohrengasse,5,2,551347,
MOTORRADABSTELLPLATZOGD.551348,POINT (16.43638345142099 48.28582394752692),Gerasdorfer Straße,2,21,551348,
MOTORRADABSTELLPLATZOGD.551349,POINT (16.374452572263227 48.22206614274933),Untere Augartenstraße,3,2,551349,
MOTORRADABSTELLPLATZOGD.551350,POINT (16.37512974967338 48.21553652301758),Obere Donaustadtstraße,5,2,551350,
MOTORRADABSTELLPLATZOGD.551351,POINT (16.456396463713475 48.22181753879925),Schickgasse,4,22,551351,
MOTORRADABSTELLPLATZOGD.551352,POINT (16.39749478805549 48.261470646256285),Gerichtsgasse,4,21,551352,
MOTORRADABSTELLPLATZOGD.551353,POINT (16.41115115896954 48.30165363160987),Stammersdorfer Straße,3,21,551353,
MOTORRADABSTELLPLATZOGD.551354,POINT (16.287421761566822 48.15908547696583),Schluckergasse,5,13,551354,
MOTORRADABSTELLPLATZOGD.551355,POINT (16.408316491482726 48.21916695885524),Vorgartenstraße,7,2,551355,
MOTORRADABSTELLPLATZOGD.551356,POINT (16.35815186034409 48.20975239830144),Rathausplatz,3,1,551356,
MOTORRADABSTELLPLATZOGD.551357,POINT (16.35703103638018 48.2059361663132),Museumstraße,3,7,551357,
MOTORRADABSTELLPLATZOGD.551358,POINT (16.356524294852317 48.2063186351038),Museumstraße,3,7,551358,
MOTORRADABSTELLPLATZOGD.551359,POINT (16.342592462227472 48.211621199538435),Bennoplatz,3,8,551359,
MOTORRADABSTELLPLATZOGD.551360,POINT (16.355492917160785 48.20843189628961),Doblhofgasse,10,1,551360,
MOTORRADABSTELLPLATZOGD.551361,POINT (16.35431781845724 48.21006419025334),Lenaugasse,5,8,551361,
MOTORRADABSTELLPLATZOGD.551362,POINT (16.34660344359892 48.213185985520525),Laudongasse,3,8,551362,
MOTORRADABSTELLPLATZOGD.551363,POINT (16.380582765286164 48.216423573058115),Taborstraße,3,2,551363,
MOTORRADABSTELLPLATZOGD.551364,POINT (16.40032630250464 48.276115479593706),Znaimer Gasse,4,21,551364,
MOTORRADABSTELLPLATZOGD.551365,POINT (16.456807185533634 48.222877326684646),Langobardenstraße,2,22,551365,
MOTORRADABSTELLPLATZOGD.551366,POINT (16.340897462936393 48.22732975990345),Weimarer Straße,4,18,551366,
MOTORRADABSTELLPLATZOGD.551367,POINT (16.396455284098998 48.15168343717892),Laaer-Berg-Straße,8,10,551367,
MOTORRADABSTELLPLATZOGD.551368,POINT (16.379129118250884 48.230388243915044),Nordwestbahnstraße,3,20,551368,
MOTORRADABSTELLPLATZOGD.551369,POINT (16.397453165581442 48.21131052762413),Böcklinstraße,4,2,551369,
MOTORRADABSTELLPLATZOGD.551370,POINT (16.35771510371074 48.19703913650903),Linke Wienzeille,1,6,551370,
MOTORRADABSTELLPLATZOGD.551371,POINT (16.33162932058198 48.20032146360654),Beingasse,5,15,551371,
MOTORRADABSTELLPLATZOGD.551372,POINT (16.379371764234257 48.21283301284459),Taborstraße,6,2,551372,
MOTORRADABSTELLPLATZOGD.551373,POINT (16.388077662427673 48.26116569454824),Jedleseer Straße,3,21,551373,
MOTORRADABSTELLPLATZOGD.551374,POINT (16.43912988546956 48.25026224068795),Donaufelder Straße,3,22,551374,
MOTORRADABSTELLPLATZOGD.551375,POINT (16.40546875285745 48.215921974858645),Messestraße,15,2,551375,
MOTORRADABSTELLPLATZOGD.551376,POINT (16.3979684016702 48.22916974053446),Friedrich-Hillegeist-Straße,4,2,551376,
MOTORRADABSTELLPLATZOGD.551377,POINT (16.41020998590008 48.287132372946765),Jedlersdorfer Straße,6,21,551377,
MOTORRADABSTELLPLATZOGD.551378,POINT (16.419007568527206 48.26100875844887),Leopoldauer Straße,5,21,551378,
MOTORRADABSTELLPLATZOGD.551379,POINT (16.40280611392095 48.260640435964305),Pitkagasse,2,21,551379,
MOTORRADABSTELLPLATZOGD.551380,POINT (16.389455730664935 48.218801918141004),Praterstern,2,2,551380,
MOTORRADABSTELLPLATZOGD.551381,POINT (16.353705948876296 48.19038133337243),Schönbrunner Straße,2,5,551381,
MOTORRADABSTELLPLATZOGD.551382,POINT (16.364052553654567 48.17265982171361),Inzersdorfer Straße,6,10,551382,
MOTORRADABSTELLPLATZOGD.551383,POINT (16.3205991103645 48.216198439989526),Wilhelminenstraße,7,16,551383,
MOTORRADABSTELLPLATZOGD.551384,POINT (16.358187226630307 48.21819153717816),Währinger Straße,4,9,551384,
MOTORRADABSTELLPLATZOGD.551385,POINT (16.356572211629246 48.174545194550596),Zur Spinnerin,9,10,551385,
MOTORRADABSTELLPLATZOGD.551386,POINT (16.449155614536256 48.27797195116186),Möllplatz,7,21,551386,
MOTORRADABSTELLPLATZOGD.551387,POINT (16.35614550421812 48.19723585001516),Dürergasse,6,6,551387,
MOTORRADABSTELLPLATZOGD.551388,POINT (16.351579175098973 48.204893578252175),Kirchengasse,6,7,551388,
MOTORRADABSTELLPLATZOGD.551389,POINT (16.311088496496417 48.140908724567524),Carlbergergasse,6,23,551389,
MOTORRADABSTELLPLATZOGD.551390,POINT (16.387044911187953 48.15231591402913),Alaudagasse,4,10,551390,
MOTORRADABSTELLPLATZOGD.551391,POINT (16.37074216458638 48.198282893147216),Karlsgasse,6,4,551391,
MOTORRADABSTELLPLATZOGD.551392,POINT (16.373307107958595 48.19477357701227),Argentinierstraße,18,4,551392,
MOTORRADABSTELLPLATZOGD.551393,POINT (16.36740111786731 48.18854313851338),Johann-Strauß-Gasse,7,4,551393,
MOTORRADABSTELLPLATZOGD.551394,POINT (16.369231183787594 48.19368778796514),Brahmsplatz,4,4,551394,
MOTORRADABSTELLPLATZOGD.551395,POINT (16.423437429336833 48.15886714655356),Am Kanal,3,11,551395,
MOTORRADABSTELLPLATZOGD.551396,POINT (16.3669031888084 48.199890042840074),Operngasse,4,4,551396,
MOTORRADABSTELLPLATZOGD.551397,POINT (16.46250320210189 48.157997158931614),Paulasgasse,7,11,551397,
MOTORRADABSTELLPLATZOGD.551398,POINT (16.336758421096913 48.22792048568207),Währinger Straße,6,18,551398,
MOTORRADABSTELLPLATZOGD.551399,POINT (16.36381270038299 48.19236776764943),Kleine Neugasse,4,4,551399,
MOTORRADABSTELLPLATZOGD.551400,POINT (16.34703127552079 48.20122308257819),Hermanngasse,6,7,551400,
MOTORRADABSTELLPLATZOGD.551401,POINT (16.353356056432993 48.19164867111273),Linke Wienzeile,7,6,551401,
MOTORRADABSTELLPLATZOGD.551402,POINT (16.352731356334207 48.192901379795416),Mollardgasse,6,6,551402,
MOTORRADABSTELLPLATZOGD.551403,POINT (16.351914837702935 48.232971749646445),Fickertgasse,6,19,551403,
MOTORRADABSTELLPLATZOGD.551404,POINT (16.355291437337165 48.215881979025816),Otto-Wagner-Platz,7,9,551404,
MOTORRADABSTELLPLATZOGD.551405,POINT (16.364315003554506 48.21981952986497),Servitengasse,4,9,551405,
MOTORRADABSTELLPLATZOGD.551406,POINT (16.357252179720913 48.22929749430053),Newaldgasse,4,9,551406,
MOTORRADABSTELLPLATZOGD.551407,POINT (16.358138387435584 48.22600648155666),Marktgasse,4,9,551407,
MOTORRADABSTELLPLATZOGD.551408,POINT (16.36186890797589 48.22652791764379),Nordbergstraße,14,9,551408,
MOTORRADABSTELLPLATZOGD.551409,POINT (16.36209875340181 48.19670254331076),Preßgasse,3,4,551409,
MOTORRADABSTELLPLATZOGD.551410,POINT (16.334945966511416 48.20121282950746),Hütteldorfer Straße,7,15,551410,
MOTORRADABSTELLPLATZOGD.551411,POINT (16.356425688141847 48.22352642650876),Boltzmanngasse,3,9,551411,
MOTORRADABSTELLPLATZOGD.551412,POINT (16.362618107798266 48.16643964570106),Zohmanngasse,4,10,551412,
MOTORRADABSTELLPLATZOGD.551413,POINT (16.374400305346533 48.200919019342635),Schwarzenbergplatz,5,1,551413,
MOTORRADABSTELLPLATZOGD.551414,POINT (16.34607491565239 48.15496665278659),Otto-Probst-Straße,6,10,551414,
MOTORRADABSTELLPLATZOGD.551415,POINT (16.34601527042514 48.23039693252939),Edelhofgasse,7,18,551415,
MOTORRADABSTELLPLATZOGD.551416,POINT (16.367873569889696 48.21145785194675),Am Hof,18,1,551416,
MOTORRADABSTELLPLATZOGD.551417,POINT (16.38028908877095 48.14997666617926),Stockholmer Platz,4,10,551417,
MOTORRADABSTELLPLATZOGD.551418,POINT (16.389964926406616 48.20542267463249),Uchatiusgasse,5,3,551418,
MOTORRADABSTELLPLATZOGD.551419,POINT (16.387043316893134 48.168375341900656),Absberggasse,6,10,551419,
MOTORRADABSTELLPLATZOGD.551420,POINT (16.31564904904347 48.19472313874019),Goldschlagstraße,5,15,551420,
MOTORRADABSTELLPLATZOGD.551421,POINT (16.31164108802216 48.19565207613648),Goldschlagstraße,7,14,551421,
MOTORRADABSTELLPLATZOGD.551422,POINT (16.47696217024081 48.217552072732914),Trondheimgasse,3,22,551422,
MOTORRADABSTELLPLATZOGD.551423,POINT (16.476119818376443 48.21620118188317),Trondheimgasse,2,22,551423,
MOTORRADABSTELLPLATZOGD.551424,POINT (16.36972085968486 48.18683988723861),Schönburgstraße,4,4,551424,
MOTORRADABSTELLPLATZOGD.551425,POINT (16.35932513591125 48.171948785469404),Malborghetgasse,8,10,551425,
MOTORRADABSTELLPLATZOGD.551426,POINT (16.325161158477076 48.190911890705074),Mariahilfer Straße,100,15,551426,
MOTORRADABSTELLPLATZOGD.551427,POINT (16.323403648432002 48.190523823063984),Mariahilfer Straße,13,15,551427,
MOTORRADABSTELLPLATZOGD.551428,POINT (16.312364890063407 48.1662907204425),Hetzendorfer Straße,4,12,551428,
MOTORRADABSTELLPLATZOGD.551429,POINT (16.34818658527873 48.19247322544327),Webgasse,6,6,551429,
MOTORRADABSTELLPLATZOGD.551430,POINT (16.32765954722596 48.16616884965853),Graffitistraße,7,12,551430,
MOTORRADABSTELLPLATZOGD.551431,POINT (16.3494750627042 48.19519099891361),Otto-Bauer-Gasse,7,6,551431,
MOTORRADABSTELLPLATZOGD.551432,POINT (16.354719313198697 48.20417512881763),Burggasse,4,7,551432,
MOTORRADABSTELLPLATZOGD.551433,POINT (16.340078729735104 48.19190894849466),Strohmayergasse,10,6,551433,
MOTORRADABSTELLPLATZOGD.551434,POINT (16.37009854590726 48.21719756597869),Schottenring,6,1,551434,
MOTORRADABSTELLPLATZOGD.551435,POINT (16.355159613930404 48.21589472903693),Otto-Wagner-Platz,7,9,551435,
MOTORRADABSTELLPLATZOGD.551436,POINT (16.324236627162957 48.217334075671495),Kapitelgasse,4,17,551436,
MOTORRADABSTELLPLATZOGD.551437,POINT (16.36334372009608 48.20783585703528),Heldenplatz,9,1,551437,
MOTORRADABSTELLPLATZOGD.551438,POINT (16.348283492348635 48.190695801202736),Brückengasse,7,6,551438,
MOTORRADABSTELLPLATZOGD.551439,POINT (16.38934417102715 48.172998587946694),Buchengasse,4,10,551439,
MOTORRADABSTELLPLATZOGD.551440,POINT (16.35635685765162 48.20533925345198),Museumstraße,10,7,551440,
MOTORRADABSTELLPLATZOGD.551441,POINT (16.476575215645973 48.216821026067244),Trondheimgasse,4,22,551441,
MOTORRADABSTELLPLATZOGD.551442,POINT (16.352445716009992 48.20426328854932),Burggasse,4,7,551442,
MOTORRADABSTELLPLATZOGD.551443,POINT (16.466900314063704 48.1525615266956),Csokorgasse,7,11,551443,
MOTORRADABSTELLPLATZOGD.551444,POINT (16.310750337840894 48.1726294877828),Gaßmannstraße,4,12,551444,
MOTORRADABSTELLPLATZOGD.551445,POINT (16.359943288778155 48.24559467674976),Eduard-Pötzl-Gasse,4,19,551445,
MOTORRADABSTELLPLATZOGD.551446,POINT (16.341648873379466 48.203318724759015),Halbgasse,2,7,551446,
MOTORRADABSTELLPLATZOGD.551447,POINT (16.35253653538133 48.17556548560866),Kundratstraße,10,10,551447,
MOTORRADABSTELLPLATZOGD.551448,POINT (16.359239652915615 48.16943371300001),Malborghetgasse,4,10,551448,
MOTORRADABSTELLPLATZOGD.551449,POINT (16.34829499450021 48.22520682520557),Währinger Straße,10,18,551449,
MOTORRADABSTELLPLATZOGD.551450,POINT (16.354455491352432 48.19728077429387),Luftbadgasse,7,6,551450,
MOTORRADABSTELLPLATZOGD.551451,POINT (16.338033032089903 48.241945610248486),Hutweidengasse,6,19,551451,
MOTORRADABSTELLPLATZOGD.551452,POINT (16.39072625674749 48.26452447174685),Voltagasse,4,21,551452,
MOTORRADABSTELLPLATZOGD.551453,POINT (16.389020973199717 48.26304566469835),Edisonstraße,7,21,551453,
MOTORRADABSTELLPLATZOGD.551454,POINT (16.348400756689156 48.207928378491076),Pfeilgasse,6,8,551454,
MOTORRADABSTELLPLATZOGD.551455,POINT (16.328768985009493 48.177016545101374),Ratschkygasse,7,12,551455,
MOTORRADABSTELLPLATZOGD.551456,POINT (16.320777609088378 48.21629330845158),Wichtelgasse,8,16,551456,
MOTORRADABSTELLPLATZOGD.551457,POINT (16.32382130568132 48.19044603206924),Mariahilfer Straße,42,15,551457,
MOTORRADABSTELLPLATZOGD.551458,POINT (16.323810279241176 48.19074117348734),Kauergasse,13,15,551458,
MOTORRADABSTELLPLATZOGD.551459,POINT (16.433515508974043 48.259065411569495),Viehtriftgasse,4,21,551459,
MOTORRADABSTELLPLATZOGD.551460,POINT (16.410604694030443 48.25287552939325),Nordmanngasse,4,21,551460,
MOTORRADABSTELLPLATZOGD.551461,POINT (16.46039088279575 48.1521121553062),Rosa-Jochmann-Ring,3,11,551461,
MOTORRADABSTELLPLATZOGD.551462,POINT (16.357504654582264 48.18171311241992),Leopold-Rister-Straße,9,5,551462,
MOTORRADABSTELLPLATZOGD.551463,POINT (16.36420819557483 48.18472566602542),Hauslabgasse,7,5,551463,
MOTORRADABSTELLPLATZOGD.551464,POINT (16.398801974046044 48.19542563125364),Rabengasse,8,3,551464,
MOTORRADABSTELLPLATZOGD.551465,POINT (16.367598113810462 48.18501218820511),Blechturmgasse,6,5,551465,
MOTORRADABSTELLPLATZOGD.551466,POINT (16.471523124052265 48.15256105915397),Dreherstraße,4,11,551466,
MOTORRADABSTELLPLATZOGD.551467,POINT (16.422571156896666 48.16423058992999),Lorystraße,7,11,551467,
MOTORRADABSTELLPLATZOGD.551468,POINT (16.349274206944738 48.193332817748285),Gumpendorfer Straße,7,6,551468,
MOTORRADABSTELLPLATZOGD.551469,POINT (16.345266100249585 48.18787816292848),Schönbrunner Straße,7,5,551469,
MOTORRADABSTELLPLATZOGD.551470,POINT (16.40288390254613 48.2563231521949),Schloßhofer Straße,4,21,551470,
MOTORRADABSTELLPLATZOGD.551471,POINT (16.457442446811264 48.25339903438693),Markomannenstraße,7,22,551471,
MOTORRADABSTELLPLATZOGD.551472,POINT (16.35189909261141 48.23341226088781),Werkmanngasse,8,19,551472,
MOTORRADABSTELLPLATZOGD.551473,POINT (16.36548294365557 48.19716084014401),Schleifmühlgasse,4,4,551473,
MOTORRADABSTELLPLATZOGD.551474,POINT (16.347937676093988 48.21155750600663),Fuhrmannsgasse,2,8,551474,
MOTORRADABSTELLPLATZOGD.551475,POINT (16.346294428199602 48.19042313819315),Dominikanergasse,10,6,551475,
MOTORRADABSTELLPLATZOGD.551476,POINT (16.395069051615067 48.143041612078854),Bahnlände,4,10,551476,
MOTORRADABSTELLPLATZOGD.551477,POINT (16.341908514407795 48.18958372179576),Mollardgasse,10,6,551477,
MOTORRADABSTELLPLATZOGD.551478,POINT (16.3513579243429 48.19699627546459),Blümelgasse,4,6,551478,
MOTORRADABSTELLPLATZOGD.551479,POINT (16.36195707439351 48.200974612113676),Gumpendorfer Straße,7,6,551479,
MOTORRADABSTELLPLATZOGD.551480,POINT (16.361111993469073 48.1977691189644),Linke Wienzeile,7,6,551480,
MOTORRADABSTELLPLATZOGD.551481,POINT (16.341473243226027 48.20538359139602),Halbgasse,6,7,551481,
MOTORRADABSTELLPLATZOGD.551482,POINT (16.34713047631689 48.20425063619633),Burggasse,4,7,551482,
MOTORRADABSTELLPLATZOGD.551483,POINT (16.339332214737247 48.209515384020534),Lerchenfelder Gürtel,2,8,551483,
MOTORRADABSTELLPLATZOGD.551484,POINT (16.344475302222996 48.19840395921516),Apollogasse,8,7,551484,
MOTORRADABSTELLPLATZOGD.551485,POINT (16.392051991429334 48.21196327224325),Obere Weißgerberstraße,6,3,551485,
MOTORRADABSTELLPLATZOGD.551486,POINT (16.310245838024212 48.21330142113499),Enenkelstraße,7,16,551486,
MOTORRADABSTELLPLATZOGD.551487,POINT (16.35757424335731 48.21195660415964),Ebendorferstraße,9,1,551487,
MOTORRADABSTELLPLATZOGD.551488,POINT (16.332436423697523 48.17969747493106),Hilschergasse,7,12,551488,
MOTORRADABSTELLPLATZOGD.551489,POINT (16.34050951330057 48.22684496491969),Währinger Straße,4,18,551489,
MOTORRADABSTELLPLATZOGD.551490,POINT (16.356565293317548 48.190220039529436),Bräuhausgasse,5,5,551490,
MOTORRADABSTELLPLATZOGD.551491,POINT (16.418282298724098 48.18571244994517),Guglgasse,9,3,551491,
MOTORRADABSTELLPLATZOGD.551492,POINT (16.413623363091624 48.18395150989702),Modecenterstraße,7,3,551492,
MOTORRADABSTELLPLATZOGD.551493,POINT (16.431533787778438 48.24161150951351),Donizettiweg,10,22,551493,
MOTORRADABSTELLPLATZOGD.551494,POINT (16.343005609755835 48.18945219168664),Hornbostelgasse,6,6,551494,
MOTORRADABSTELLPLATZOGD.551495,POINT (16.343073653139097 48.2250099763489),Schulgasse,7,18,551495,
MOTORRADABSTELLPLATZOGD.551496,POINT (16.390851263250337 48.14225147413983),Kurt-Tichy-Gasse,6,10,551496,
MOTORRADABSTELLPLATZOGD.551497,POINT (16.40235811431874 48.22660894494678),Wehlistraße,2,2,551497,
MOTORRADABSTELLPLATZOGD.551498,POINT (16.373425594820606 48.19455295698073),Argentinierstraße,9,4,551498,
MOTORRADABSTELLPLATZOGD.551499,POINT (16.441486154819387 48.25209053510785),Anton-Sattler-Gasse,4,22,551499,
MOTORRADABSTELLPLATZOGD.551500,POINT (16.383003597696604 48.17412082010887),Buchengasse,5,10,551500,
MOTORRADABSTELLPLATZOGD.551501,POINT (16.356529989606834 48.1902714590786),Bräuhausgasse,5,5,551501,
MOTORRADABSTELLPLATZOGD.551505,POINT (16.434502112829055 48.25294793988139),Ullreichgasse,8,22,551505,
MOTORRADABSTELLPLATZOGD.551506,POINT (16.319450599505572 48.22385342195853),Halirschgasse,4,17,551506,
MOTORRADABSTELLPLATZOGD.551507,POINT (16.319871073684556 48.22288662078844),Schadinagasse,6,17,551507,
